timestamp,x,y,magnetic_field,source,line_id,dist_m,dt_s,velocity,base_magnetic_field
1777109999.4,-2.59298246,8.13484329,32572.60415,airborne,A (16),0.1404536524897404,0.1000001430511474,1.4045345156946627,32566.07399998665
1777109999.5,-2.59298125,8.13484292,32570.11385,airborne,A (16),0.1394015486429399,0.0999999046325683,1.3940168158674335,32566.06
1777109999.6,-2.59298003,8.13484256,32568.23565,airborne,A (16),0.1401319702320231,0.0999999046325683,1.4013210387241146,32566.147999916077
1777109999.7,-2.59297881,8.13484219,32566.9746,airborne,A (16),0.1404536527385164,0.1000001430511474,1.4045345181824191,32566.23600004196
1777109999.8,-2.5929776,8.13484182,32566.3169,airborne,A (16),0.1394015489607365,0.0999999046325683,1.394016819045402,32566.32399995804
1777109999.9,-2.59297622,8.1348414,32566.16395,airborne,A (16),0.1589219381254143,0.1000001430511474,1.589217107860835,32566.412000083925
1777110000.0,-2.59297533,8.13484113,32566.2434,airborne,A (16),0.1024647614181086,0.0999999046325683,1.024648591362131,32566.5
1777110000.1,-2.59297549,8.13484256,32566.4212,airborne,A (16),0.1599811535404438,0.0999999046325683,1.599813061105066,32566.533999967574
1777110000.2,-2.59297578,8.1348439,32566.56575,airborne,A (16),0.1523823346439677,0.1000001430511474,1.5238211665960129,32566.56800001621
1777110000.3,-2.59297566,8.13484486,32567.0109,airborne,A (16),0.1075612881454437,0.0999999046325683,1.0756139072397952,32566.601999983788
1777110000.8,-2.59297546,8.13484387,32569.8812,airborne,A (16),0.1057424642625547,0.0999999046325683,1.0574256510652322,32566.550000019073
1777110000.9,-2.59297631,8.13484288,32570.50285,airborne,A (16),0.144473546844876,0.1000001430511474,1.4447334017410514,32566.509999961854
1777110001.0,-2.59297743,8.13484184,32570.8959,airborne,A (16),0.1690339520301395,0.0999999046325683,1.6903411323363196,32566.47
1777110001.1,-2.59297834,8.13484098,32571.2883,airborne,A (16),0.1384865212240976,0.0999999046325683,1.3848665329526202,32566.479999990464
1777110001.2,-2.59297937,8.13484026,32571.8337,airborne,A (16),0.1387959210187629,0.1000001430511474,1.3879572246988927,32566.49000000477
1777110001.3,-2.59298068,8.13483978,32572.23175,airborne,A (16),0.1537604416946894,0.0999999046325683,1.5376058833221338,32566.49999999523
1777110001.4,-2.59298213,8.13483957,32572.6331,airborne,A (16),0.1613093618477661,0.1000001430511474,1.6130913109320315,32566.510000009537
1777110001.5,-2.59298365,8.13483967,32572.99015,airborne,A (16),0.1676846959225066,0.0999999046325683,1.6768485583924695,32566.52
1777110001.6,-2.59298516,8.13484009,32573.13215,airborne,A (16),0.1726512134895755,0.0999999046325683,1.726513781427606,32566.523999996185
1777110001.7,-2.59298656,8.13484081,32573.1576,airborne,A (16),0.173661935363427,0.1000001430511474,1.7366168693839112,32566.52800000191
1777110001.8,-2.59298779,8.1348418,32573.301,airborne,A (16),0.1744983565944086,0.0999999046325683,1.7449852300916833,32566.531999998093
1777110001.9,-2.59298887,8.13484301,32573.34585,airborne,A (16),0.1795426221085109,0.1000001430511474,1.7954236527109722,32566.536000003816
1777110002.0,-2.59298936,8.13484427,32573.02365,airborne,A (16),0.1501293116673119,0.0999999046325683,1.501294548419171,32566.54
1777110002.2,-2.59298727,8.1348442,32572.6809,airborne,A (16),0.1323904662835056,0.1000001430511474,1.3239027689769538,32566.54800000191
1777110002.3,-2.59298616,8.13484415,32572.2936,airborne,A (16),0.1223108529720228,0.0999999046325683,1.223109696168532,32566.551999998093
1777110002.4,-2.59298505,8.1348441,32571.9701,airborne,A (16),0.122310853022928,0.1000001430511474,1.223106780560996,32566.556000003817
1777110002.5,-2.59298393,8.13484405,32571.68455,airborne,A (16),0.12341048587896,0.0999999046325683,1.2341060357248306,32566.56
1777110002.6,-2.5929828,8.134844,32571.38265,airborne,A (16),0.1245101387868544,0.0999999046325683,1.2451025752908915,32566.534000024796
1777110002.7,-2.59298166,8.13484395,32571.0215,airborne,A (16),0.1256098111359971,0.1000001430511474,1.25609631449978,32566.507999987603
1777110002.8,-2.59298051,8.1348439,32570.74765,airborne,A (16),0.126709502269756,0.0999999046325683,1.2670962310946927,32566.4820000124
1777110002.9,-2.59297925,8.13484383,32570.53825,airborne,A (16),0.138914073456195,0.1000001430511474,1.389138747383032,32566.455999975205
1777110003.0,-2.59297831,8.13484381,32570.2522,airborne,A (16),0.1034953922472726,0.0999999046325683,1.034954909482642,32566.43
1777110003.1,-2.592978,8.13484497,32570.0316,airborne,A (16),0.1334235226726403,0.0999999046325683,1.3342364991534843,32566.499999933243
1777110003.2,-2.59297768,8.13484597,32569.8286,airborne,A (16),0.1166407554135301,0.1000001430511474,1.1664058855782982,32566.570000033378
1777110003.3,-2.592977,8.13484666,32569.7324,airborne,A (16),0.1071887530416818,0.0999999046325683,1.0718885526494009,32566.63999996662
1777110003.6,-2.5929745,8.13484646,32569.86515,airborne,A (16),0.1003286088834789,0.0999999046325683,1.0032870456438767,32566.722000055313
1777110003.7,-2.59297389,8.13484567,32570.0117,airborne,A (16),0.1105676508749863,0.1000001430511474,1.1056749270691937,32566.663999972345
1777110003.8,-2.59297357,8.1348446,32570.16705,airborne,A (16),0.124083256654724,0.0999999046325683,1.2408337498985185,32566.606000027656
1777110003.9,-2.5929736,8.13484335,32570.19775,airborne,A (16),0.1390328812560061,0.1000001430511474,1.3903268236815862,32566.547999944687
1777110004.0,-2.59297403,8.13484206,32570.30305,airborne,A (16),0.1510491184834831,0.0999999046325683,1.5104926253528534,32566.49
1777110005.1,-2.59297976,8.13484081,32570.91185,airborne,A (16),0.1177673203388963,0.0999999046325683,1.1776743265067215,32566.676000032425
1777110005.8,-2.59298127,8.13484146,32569.5708,airborne,A (16),0.1063846238529812,0.0999999046325683,1.063847253093614,32566.63599998474
1777110005.9,-2.59298071,8.13484251,32569.4515,airborne,A (16),0.1320282659420446,0.1000001430511474,1.320280770743654,32566.668000030517
1777110006.0,-2.59298002,8.13484363,32569.31395,airborne,A (16),0.1458717657399917,0.0999999046325683,1.4587190485428088,32566.7
1777110006.1,-2.59298015,8.13484234,32569.14875,airborne,A (16),0.144153473752884,0.0999999046325683,1.441536112284807,32566.698000001907
1777110006.2,-2.59298008,8.13484114,32568.89975,airborne,A (16),0.1336562040310024,0.1000001430511474,1.336560128345424,32566.695999999047
1777110006.3,-2.59297957,8.1348401,32568.74185,airborne,A (16),0.12854883675283,0.0999999046325683,1.28548959346671,32566.694000000953
1777110006.4,-2.59297876,8.13483934,32568.80035,airborne,A (16),0.1228471367952497,0.1000001430511474,1.228469610612623,32566.691999998093
