timestamp,x,y,magnetic_field,source
1777109748.5,0.0,0.0,32565.52,base_station
1777109749.0,0.0,0.0,32565.78,base_station
1777109749.5,0.0,0.0,32565.59,base_station
1777109750.0,0.0,0.0,32565.63,base_station
1777109750.5,0.0,0.0,32565.56,base_station
1777109751.0,0.0,0.0,32565.69,base_station
1777109751.5,0.0,0.0,32565.91,base_station
1777109752.0,0.0,0.0,32565.84,base_station
1777109752.5,0.0,0.0,32565.81,base_station
1777109753.0,0.0,0.0,32565.59,base_station
1777109753.5,0.0,0.0,32565.56,base_station
1777109754.0,0.0,0.0,32565.8,base_station
1777109754.5,0.0,0.0,32565.42,base_station
1777109755.0,0.0,0.0,32565.72,base_station
1777109755.5,0.0,0.0,32565.37,base_station
1777109756.0,0.0,0.0,32565.54,base_station
1777109756.5,0.0,0.0,32565.99,base_station
1777109757.0,0.0,0.0,32565.79,base_station
1777109757.5,0.0,0.0,32565.64,base_station
1777109758.0,0.0,0.0,32565.78,base_station
1777109758.5,0.0,0.0,32565.6,base_station
1777109759.0,0.0,0.0,32565.7,base_station
1777109759.5,0.0,0.0,32565.58,base_station
1777109760.0,0.0,0.0,32565.71,base_station
1777109760.5,0.0,0.0,32565.8,base_station
1777109761.0,0.0,0.0,32566.18,base_station
1777109761.5,0.0,0.0,32565.64,base_station
1777109762.0,0.0,0.0,32565.56,base_station
1777109762.5,0.0,0.0,32565.57,base_station
1777109763.0,0.0,0.0,32565.47,base_station
1777109763.5,0.0,0.0,32565.88,base_station
1777109764.0,0.0,0.0,32565.7,base_station
1777109764.5,0.0,0.0,32565.86,base_station
1777109765.0,0.0,0.0,32565.67,base_station
1777109765.5,0.0,0.0,32565.48,base_station
1777109766.0,0.0,0.0,32565.56,base_station
1777109766.5,0.0,0.0,32565.75,base_station
1777109767.0,0.0,0.0,32565.74,base_station
1777109767.5,0.0,0.0,32565.72,base_station
1777109768.0,0.0,0.0,32565.9,base_station
1777109768.5,0.0,0.0,32565.68,base_station
1777109769.0,0.0,0.0,32565.37,base_station
1777109769.5,0.0,0.0,32565.49,base_station
1777109770.0,0.0,0.0,32565.55,base_station
1777109770.5,0.0,0.0,32565.7,base_station
1777109771.0,0.0,0.0,32565.32,base_station
1777109771.5,0.0,0.0,32565.71,base_station
1777109772.0,0.0,0.0,32565.41,base_station
1777109772.5,0.0,0.0,32565.81,base_station
1777109773.0,0.0,0.0,32565.33,base_station
1777109773.5,0.0,0.0,32565.7,base_station
1777109774.0,0.0,0.0,32565.44,base_station
1777109774.5,0.0,0.0,32565.53,base_station
1777109775.0,0.0,0.0,32565.79,base_station
1777109775.5,0.0,0.0,32565.44,base_station
1777109776.0,0.0,0.0,32565.7,base_station
1777109776.5,0.0,0.0,32566.02,base_station
1777109777.0,0.0,0.0,32565.66,base_station
1777109777.5,0.0,0.0,32565.74,base_station
1777109778.0,0.0,0.0,32566.01,base_station
1777109778.5,0.0,0.0,32565.83,base_station
1777109779.0,0.0,0.0,32565.57,base_station
1777109779.5,0.0,0.0,32565.62,base_station
1777109780.0,0.0,0.0,32565.5,base_station
1777109780.5,0.0,0.0,32565.7,base_station
1777109781.0,0.0,0.0,32565.62,base_station
1777109781.5,0.0,0.0,32565.88,base_station
1777109782.0,0.0,0.0,32566.09,base_station
1777109782.5,0.0,0.0,32565.6,base_station
1777109783.0,0.0,0.0,32565.43,base_station
1777109783.5,0.0,0.0,32565.84,base_station
1777109784.0,0.0,0.0,32565.77,base_station
1777109784.5,0.0,0.0,32565.83,base_station
1777109785.0,0.0,0.0,32565.38,base_station
1777109785.5,0.0,0.0,32565.74,base_station
1777109786.0,0.0,0.0,32565.5,base_station
1777109786.5,0.0,0.0,32565.77,base_station
1777109787.0,0.0,0.0,32565.52,base_station
1777109787.5,0.0,0.0,32565.79,base_station
1777109788.0,0.0,0.0,32565.64,base_station
1777109788.5,0.0,0.0,32565.63,base_station
1777109789.0,0.0,0.0,32565.41,base_station
1777109789.5,0.0,0.0,32565.52,base_station
1777109790.0,0.0,0.0,32565.76,base_station
1777109790.5,0.0,0.0,32565.31,base_station
1777109791.0,0.0,0.0,32565.61,base_station
1777109791.5,0.0,0.0,32565.51,base_station
1777109792.0,0.0,0.0,32565.8,base_station
1777109792.5,0.0,0.0,32565.88,base_station
1777109793.0,0.0,0.0,32565.71,base_station
1777109793.5,0.0,0.0,32565.68,base_station
1777109794.0,0.0,0.0,32565.7,base_station
1777109794.5,0.0,0.0,32566.02,base_station
1777109795.0,0.0,0.0,32565.84,base_station
1777109795.5,0.0,0.0,32565.96,base_station
1777109796.0,0.0,0.0,32565.66,base_station
1777109796.5,0.0,0.0,32565.66,base_station
1777109797.0,0.0,0.0,32565.55,base_station
1777109797.5,0.0,0.0,32565.56,base_station
1777109798.0,0.0,0.0,32565.61,base_station
1777109798.5,0.0,0.0,32565.26,base_station
1777109799.0,0.0,0.0,32565.89,base_station
1777109799.5,0.0,0.0,32565.82,base_station
1777109800.0,0.0,0.0,32565.69,base_station
1777109800.5,0.0,0.0,32565.77,base_station
1777109801.0,0.0,0.0,32565.88,base_station
1777109801.5,0.0,0.0,32565.88,base_station
1777109802.0,0.0,0.0,32565.56,base_station
1777109802.5,0.0,0.0,32565.94,base_station
1777109803.0,0.0,0.0,32565.69,base_station
1777109803.5,0.0,0.0,32565.77,base_station
1777109804.0,0.0,0.0,32565.87,base_station
1777109804.5,0.0,0.0,32565.85,base_station
1777109805.0,0.0,0.0,32565.75,base_station
1777109805.5,0.0,0.0,32565.59,base_station
1777109806.0,0.0,0.0,32565.74,base_station
1777109806.5,0.0,0.0,32566.02,base_station
1777109807.0,0.0,0.0,32566.09,base_station
1777109807.5,0.0,0.0,32566.03,base_station
1777109808.0,0.0,0.0,32565.92,base_station
1777109808.5,0.0,0.0,32565.97,base_station
1777109809.0,0.0,0.0,32565.89,base_station
1777109809.5,0.0,0.0,32565.66,base_station
1777109810.0,0.0,0.0,32565.67,base_station
1777109810.5,0.0,0.0,32565.99,base_station
1777109811.0,0.0,0.0,32565.95,base_station
1777109811.5,0.0,0.0,32565.64,base_station
1777109812.0,0.0,0.0,32565.92,base_station
1777109812.5,0.0,0.0,32566.12,base_station
1777109813.0,0.0,0.0,32565.42,base_station
1777109813.5,0.0,0.0,32565.9,base_station
1777109814.0,0.0,0.0,32565.86,base_station
1777109814.5,0.0,0.0,32565.88,base_station
1777109815.0,0.0,0.0,32565.67,base_station
1777109815.5,0.0,0.0,32565.81,base_station
1777109816.0,0.0,0.0,32565.82,base_station
1777109816.5,0.0,0.0,32565.69,base_station
1777109817.0,0.0,0.0,32565.88,base_station
1777109817.5,0.0,0.0,32565.76,base_station
1777109818.0,0.0,0.0,32565.63,base_station
1777109818.5,0.0,0.0,32565.53,base_station
1777109819.0,0.0,0.0,32565.95,base_station
1777109819.5,0.0,0.0,32565.76,base_station
1777109820.0,0.0,0.0,32565.85,base_station
1777109820.5,0.0,0.0,32565.64,base_station
1777109821.0,0.0,0.0,32565.76,base_station
1777109821.5,0.0,0.0,32565.75,base_station
1777109822.0,0.0,0.0,32566.06,base_station
1777109822.5,0.0,0.0,32565.89,base_station
1777109823.0,0.0,0.0,32565.8,base_station
1777109823.5,0.0,0.0,32565.86,base_station
1777109824.0,0.0,0.0,32565.54,base_station
1777109824.5,0.0,0.0,32565.78,base_station
1777109825.0,0.0,0.0,32565.78,base_station
1777109825.5,0.0,0.0,32565.79,base_station
1777109826.0,0.0,0.0,32565.86,base_station
1777109826.5,0.0,0.0,32565.72,base_station
1777109827.0,0.0,0.0,32566.27,base_station
1777109827.5,0.0,0.0,32565.74,base_station
1777109828.0,0.0,0.0,32565.55,base_station
1777109828.5,0.0,0.0,32565.81,base_station
1777109829.0,0.0,0.0,32565.8,base_station
1777109829.5,0.0,0.0,32565.78,base_station
1777109830.0,0.0,0.0,32566.17,base_station
1777109830.5,0.0,0.0,32565.45,base_station
1777109831.0,0.0,0.0,32565.7,base_station
1777109831.5,0.0,0.0,32566.0,base_station
1777109832.0,0.0,0.0,32565.92,base_station
1777109832.5,0.0,0.0,32565.8,base_station
1777109833.0,0.0,0.0,32565.73,base_station
1777109833.5,0.0,0.0,32565.82,base_station
1777109834.0,0.0,0.0,32565.95,base_station
1777109834.5,0.0,0.0,32565.73,base_station
1777109835.0,0.0,0.0,32565.59,base_station
1777109835.5,0.0,0.0,32565.8,base_station
1777109836.0,0.0,0.0,32566.44,base_station
1777109836.5,0.0,0.0,32565.84,base_station
1777109837.0,0.0,0.0,32565.77,base_station
1777109837.5,0.0,0.0,32565.93,base_station
1777109838.0,0.0,0.0,32565.81,base_station
1777109838.5,0.0,0.0,32565.93,base_station
1777109839.0,0.0,0.0,32565.98,base_station
1777109839.5,0.0,0.0,32565.78,base_station
1777109840.0,0.0,0.0,32565.92,base_station
1777109840.5,0.0,0.0,32565.75,base_station
1777109841.0,0.0,0.0,32565.75,base_station
1777109841.5,0.0,0.0,32565.65,base_station
1777109842.0,0.0,0.0,32566.01,base_station
1777109842.5,0.0,0.0,32565.54,base_station
1777109843.0,0.0,0.0,32566.01,base_station
1777109843.5,0.0,0.0,32565.8,base_station
1777109844.0,0.0,0.0,32566.08,base_station
1777109844.5,0.0,0.0,32565.76,base_station
1777109845.0,0.0,0.0,32565.98,base_station
1777109845.5,0.0,0.0,32566.01,base_station
1777109846.0,0.0,0.0,32566.26,base_station
1777109846.5,0.0,0.0,32565.93,base_station
1777109847.0,0.0,0.0,32565.59,base_station
1777109847.5,0.0,0.0,32565.63,base_station
1777109848.0,0.0,0.0,32565.78,base_station
1777109848.5,0.0,0.0,32565.7,base_station
1777109849.0,0.0,0.0,32565.75,base_station
1777109849.5,0.0,0.0,32566.08,base_station
1777109850.0,0.0,0.0,32565.66,base_station
1777109850.5,0.0,0.0,32565.85,base_station
1777109851.0,0.0,0.0,32565.91,base_station
1777109851.5,0.0,0.0,32566.03,base_station
1777109852.0,0.0,0.0,32566.0,base_station
1777109852.5,0.0,0.0,32565.88,base_station
1777109853.0,0.0,0.0,32565.93,base_station
1777109853.5,0.0,0.0,32566.15,base_station
1777109854.0,0.0,0.0,32566.12,base_station
1777109854.5,0.0,0.0,32565.84,base_station
1777109855.0,0.0,0.0,32565.43,base_station
1777109855.5,0.0,0.0,32565.96,base_station
1777109856.0,0.0,0.0,32565.87,base_station
1777109856.5,0.0,0.0,32565.66,base_station
1777109857.0,0.0,0.0,32565.77,base_station
1777109857.5,0.0,0.0,32565.56,base_station
1777109858.0,0.0,0.0,32565.96,base_station
1777109858.5,0.0,0.0,32565.97,base_station
1777109859.0,0.0,0.0,32565.66,base_station
1777109859.5,0.0,0.0,32565.8,base_station
1777109860.0,0.0,0.0,32565.71,base_station
1777109860.5,0.0,0.0,32566.19,base_station
1777109861.0,0.0,0.0,32565.99,base_station
1777109861.5,0.0,0.0,32566.41,base_station
1777109862.0,0.0,0.0,32565.85,base_station
1777109862.5,0.0,0.0,32565.69,base_station
1777109863.0,0.0,0.0,32566.08,base_station
1777109863.5,0.0,0.0,32565.66,base_station
1777109864.0,0.0,0.0,32566.2,base_station
1777109864.5,0.0,0.0,32566.23,base_station
1777109865.0,0.0,0.0,32565.98,base_station
1777109865.5,0.0,0.0,32565.95,base_station
1777109866.0,0.0,0.0,32566.06,base_station
1777109866.5,0.0,0.0,32565.93,base_station
1777109867.0,0.0,0.0,32566.02,base_station
1777109867.5,0.0,0.0,32566.06,base_station
1777109868.0,0.0,0.0,32565.98,base_station
1777109868.5,0.0,0.0,32565.62,base_station
1777109869.0,0.0,0.0,32566.01,base_station
1777109869.5,0.0,0.0,32566.02,base_station
1777109870.0,0.0,0.0,32565.92,base_station
1777109870.5,0.0,0.0,32565.91,base_station
1777109871.0,0.0,0.0,32566.13,base_station
1777109871.5,0.0,0.0,32565.98,base_station
1777109872.0,0.0,0.0,32565.77,base_station
1777109872.5,0.0,0.0,32565.79,base_station
1777109873.0,0.0,0.0,32566.14,base_station
1777109873.5,0.0,0.0,32565.85,base_station
1777109874.0,0.0,0.0,32565.78,base_station
1777109874.5,0.0,0.0,32566.02,base_station
1777109875.0,0.0,0.0,32565.79,base_station
1777109875.5,0.0,0.0,32565.93,base_station
1777109876.0,0.0,0.0,32565.95,base_station
1777109876.5,0.0,0.0,32565.73,base_station
1777109877.0,0.0,0.0,32565.79,base_station
1777109877.5,0.0,0.0,32566.04,base_station
1777109878.0,0.0,0.0,32565.65,base_station
1777109878.5,0.0,0.0,32565.94,base_station
1777109879.0,0.0,0.0,32566.05,base_station
1777109879.5,0.0,0.0,32565.93,base_station
1777109880.0,0.0,0.0,32565.74,base_station
1777109880.5,0.0,0.0,32566.13,base_station
1777109881.0,0.0,0.0,32566.12,base_station
1777109881.5,0.0,0.0,32565.88,base_station
1777109882.0,0.0,0.0,32566.02,base_station
1777109882.5,0.0,0.0,32565.69,base_station
1777109883.0,0.0,0.0,32566.13,base_station
1777109883.5,0.0,0.0,32565.91,base_station
1777109884.0,0.0,0.0,32566.06,base_station
1777109884.5,0.0,0.0,32565.99,base_station
1777109885.0,0.0,0.0,32566.1,base_station
1777109885.5,0.0,0.0,32565.94,base_station
1777109886.0,0.0,0.0,32565.76,base_station
1777109886.5,0.0,0.0,32566.17,base_station
1777109887.0,0.0,0.0,32565.82,base_station
1777109887.5,0.0,0.0,32566.14,base_station
1777109888.0,0.0,0.0,32565.97,base_station
1777109888.5,0.0,0.0,32565.92,base_station
1777109889.0,0.0,0.0,32566.09,base_station
